"mun";"x1";"x2";"x3";"x4";"x5";"x6";"x7";"x8";"x9";"x10";"x11";"x12";"x13";"x14";"x15";"x16";"x17";"x18"
"Casimiro de Abreu (RJ)";-0.547818257801699;1.75900229209168;-1.66792231929355;0.172618513218308;0.260144009106302;0.0894030751852092;-0.239278447497015;0.386312924268931;-0.26993900872443;-0.159983632492646;0.677754665036177;0.464724155441834;0.774923679993904;-0.352159028488356;0.15717329061113;0.888463984420345;-0.200631803739806;-1.25730127111927
"Conceição de Macabu (RJ)";-0.265883977410511;-0.729870322983217;0.859060401735072;-0.531793418115504;-0.564047341598707;0.112005024087375;0.138748881824114;-0.19231301388493;-0.517006278351002;0.0240430643163073;-2.0095140218868;0.0839577990747319;-0.442772449959714;-0.388695032298131;-0.109999844780584;-0.0608841188759963;-0.505342650766623;0.33351831085137
"Cordeiro (RJ)";-0.425946728426702;-0.423441464900436;0.590367739011676;-0.361207798197487;0.545441015119577;0.907789981946681;0.845314573771651;0.26753524428176;0.0418290309847481;-0.0414609063311835;0.812686781570964;0.546316946091927;-0.389806176361443;2.22536296989184;1.42735952897586;0.256117061979745;-0.138685712237356;-0.246868288869622
"Duas Barras (RJ)";4.67351689879764;-0.877992319827667;-0.657121611155668;-1.53187926261826;-1.13464135362525;-0.522958383918537;-0.889523921025457;-0.804566511570778;-0.50107370751219;-0.550667164287065;-1.44839063172863;-1.35751483574358;-0.277748417676353;1.64786361034153;-1.01802161135961;-0.389688564819873;-0.505497247400544;-0.19225884271005
"Duque de Caxias (RJ)";-0.624261045410812;0.715104107982139;-0.5421307551931;0.971753521678766;0.799038353798042;-0.629765237355619;1.0053934320311;-0.171534754826488;0.232284175836846;-0.507726249634844;-0.567690154583563;0.0567602021913675;0.182383671788303;0.57102009798025;0.371253162210916;-0.319813439487139;-0.155729030592972;-0.0453363968733071
"Engenheiro Paulo de Frontin (RJ)";-0.286108965458408;-0.308819926427908;0.422241782435983;-0.887000747630436;0.577140682454384;0.235364757473612;-0.813115279734391;-0.839165603577595;-0.7585178812032;0.155242538997314;-1.51650182000305;0.355933767908376;-0.374091945688575;0.0202089452471028;-0.904925755003258;-0.566366385679986;-0.60898836553675;-0.385650009139222
"Guapimirim (RJ)";-0.313395892358692;-0.326868632148066;0.450514311339497;0.277667940283236;0.0699460050974554;-0.859399856597702;0.806362267580818;-0.287053100059393;-1.03445389331597;-0.600239627311708;-1.13902008191534;-0.29680855729237;-0.419229796885291;-0.700328950474865;-0.638249887254716;-0.430408561491198;-0.651264928471671;0.888887848034758
"Iguaba Grande (RJ)";-0.522639354142272;-0.721180219713853;0.936829776384799;0.55061916535521;1.0209360251417;0.293305719969431;1.02772224425278;0.0302932818799445;-0.608666116281327;-0.997343156130718;0.393775422363613;1.41664004635959;-0.393881352261608;-0.932530074800376;0.551006387365193;0.0513361639828122;-0.262455681062943;-0.249380741520594
"Itaboraí (RJ)";-0.53619203788128;-0.371061927563185;0.572502840582197;1.2000113382751;0.35524301111073;-0.255917227653627;0.949596280938663;-0.277055717495829;-0.489780527074807;-0.205139595245987;-2.18864327318113;-0.432796541709192;-0.407073135831409;-0.0338992471433969;-0.415997699751433;-0.56551611170198;-0.61057398937202;0.505084190105473
"Itaguaí (RJ)";-0.527540278500177;-0.759482339611067;0.978834395121944;-0.348097550638156;0.672239684458812;0.432079490637889;0.734111475440701;0.0359344381854043;-0.0333331815322042;-0.642114831247081;0.154912886052902;0.165550589724825;0.417437636807514;0.239691049071774;-0.031749276064364;-0.245478443820127;-0.454586209285838;0.189411535896346
"Italva (RJ)";0.125669133768498;-0.559946025085975;0.547433744409408;0.0508629883830822;-0.976143016951212;-0.161157426652244;-0.754911769511086;-0.271226522646854;-0.317928555198778;1.73657404880085;0.839993108096165;-0.568784526126014;-0.417715438082442;0.0745222197057322;-0.81989299679723;-0.865465696296337;-0.320681268021622;0.303290935565759
"Itaocara (RJ)";1.22776618438752;-0.740416099604796;0.364492863199054;0.0105541222423528;-0.976143016951212;0.997638910653181;-0.569023082999605;-0.49593258214765;0.927511874335316;0.0820043477421062;1.0130168213893;0.111155395958096;-0.367436086779682;-0.548579450400965;-0.716445581566531;-0.294503046784188;0.457323520383521;1.00474856049908
"Itaperuna (RJ)";-0.329470736412975;-0.341767890734934;0.471649315267882;0.839138551262162;0.038246337762649;0.315649021383192;0.516150235273315;0.0847617799848795;0.6280310611523;0.973409416970071;1.14725755880345;0.573514542975291;-0.271675820833356;0.642308592599093;0.235590359613263;0.134204437885535;0.975941428265002;-0.385239337929296
"Itatiaia (RJ)";-0.584502670545906;0.0971892227562661;0.0954797488200738;-0.0691595592571988;0.545441015119577;-0.539351086412599;0.806617121639594;0.496378151739892;-0.514192524764398;-0.000826445876389283;0.891941114174141;0.763897721158842;0.691097627979626;0.943387226099317;0.63048980844171;0.648547500935334;-0.416894334834567;0.568681261645977
"Japeri (RJ)";-0.576633905447526;-0.770531842434623;1.00709710477923;0.344317984696473;0.165045007101879;-1.69345455135809;1.02772224425278;-0.908645845406502;-1.0586732831364;-0.214469129537833;-0.438678971935579;-1.35751483574358;-0.417774606416441;-0.687316054032897;-0.893825831825783;-1.44949786828845;-0.648108030054731;2.81277959424715
"Laje do Muriaé (RJ)";0.102582997341247;-0.193886787043446;0.169559095249056;-1.14633655691447;-1.67353569831699;-1.0232356006576;-0.593442024909932;-0.99423472246322;-0.883405565762279;1.12193665157145;0.588771839165083;-1.1127364637933;-0.395737848875794;0.234735879324115;-0.707676686744057;-0.771085531182825;-0.449630894622727;1.47176711189968
"Macaé (RJ)";-0.583662745261049;1.1643485175408;-1.02922559850716;-0.38119302920474;1.0209360251417;1.15877377027037;0.9049323699979;2.26177801753338;1.42334513413899;-0.350844543584041;0.23274527000665;1.49823283700968;0.833165317494078;0.800244701991997;1.37136107169294;2.14443910689245;1.01803810708996;-1.20149852715639
"Macuco (RJ)";-0.133469459640563;-0.0559816543957847;0.104170952713694;-0.245395832788099;-0.0251529969069681;1.65854815065687;0.185975151050057;-0.0783616565146515;-0.0428525739721576;-0.997343156130718;1.47521850353859;-0.160820572875548;-0.24038855132067;0.281258231124146;0.0615473438669021;-1.02789583390587;0.0781019264256891;0.173194017425619
"Magé (RJ)";-0.37344869776196;-0.634269959501065;0.794735822502441;0.589603842587318;0.545441015119577;-0.912478298974867;0.678899937686312;-0.286363625399837;-0.553795282098545;-0.202698388525772;-1.69567948883445;0.00236500842463868;-0.432912854387124;-0.0932726642044112;-0.301300681164884;-0.588570486459037;-0.565384453083171;1.09421298126996
"Mangaratiba (RJ)";-0.425413328096328;-0.98723100617928;1.18423212066431;-1.02306837517511;1.08433535981132;-0.38038135216124;0.247383112805956;0.591431635486882;-0.826476149438366;-0.478405168157597;-0.592534861177792;1.19905927129267;0.0305994178080602;-0.817405572951235;0.577461505721833;1.05708967262676;0.142439029592363;-0.0898432313210565
"Maricá (RJ)";-0.5444405895942;0.458556019431802;-0.298840601483574;0.47880026006159;0.925837023137276;0.234950987688254;0.92631895731225;1.05645095360024;-0.419550149924573;-0.743584226619819;-2.59505017054205;1.52543043389305;-0.325884968739686;-0.755711291367507;0.729235702285038;1.75159124856177;-0.566204774738467;-0.999318320481321
"Mendes (RJ)";-0.580694414460962;-0.614277617931862;0.843850959416644;0.0857175660305868;0.640540017124001;-0.106596085048201;0.942121487445583;-0.260821723239007;0.223240207635207;0.39775659453067;-1.12006125603982;0.736700124275478;-0.404236131142646;-0.527896199594862;0.13750099521663;-0.203083924346953;-0.439507985359995;-0.841722659669832
"Mesquita (RJ)";-0.625824653877515;-0.606760651281992;0.85119270234747;1.37093331244106;1.24283369648536;-1.11030698180504;1.02772224425278;-0.0112945759941915;-0.871619231871219;-0.868675037622724;0.986585657216862;0.763897721158842;-0.431347342387695;-0.290895159267895;1.0804418907022;-0.00641587519585294;0.579928962722586;-0.278143104009233
"Miguel Pereira (RJ)";-0.439733730646809;-0.771001924867249;0.961249449936483;0.205427610698823;0.291843676441113;2.11366853963924;0.191435696122522;0.319621920835502;1.23671210724193;0.228548336276202;-1.06494767911509;0.981478496225757;-0.308163642601761;-1.18405440929318;-0.296931991217709;0.302945723670892;0.0188677147959944;-0.193175618764769
"Miracema (RJ)";-0.20800816986828;-0.688421234050441;0.795774018116843;0.929540243473743;-0.881044014946789;-0.280057666151173;0.513956920794738;-0.427549231822582;0.521896165170683;-0.167521817392192;0.947393693879198;0.111155395958096;-0.414786424683917;-0.518861143222275;-0.418428090564681;0.434299617268204;-0.288011093606447;0.520823323883389
"Natividade (RJ)";0.102661742444705;-0.582202662923839;0.578668742459232;-0.385410748098455;-1.00784268428602;-0.477451266061741;-0.292983171455209;-0.0989518770295785;0.594429480894013;-0.00598648529915971;0.798917943467303;0.573514542975291;-0.397680840042752;-0.400411713871693;-0.450875337102743;-0.126526621526466;-0.543433163284046;0.196295793672072
"Nilópolis (RJ)";-0.630311276774001;-0.655128335032561;0.903676276649662;1.64247299369064;1.62322970450306;-0.313141155094357;1.02772224425278;0.433134521604243;-0.0213168671996005;-0.150309777457564;1.11174121466075;1.19905927129267;-0.3870050560429;-0.519723185293434;1.50416435632598;0.518722051356522;0.911636064956932;-0.589986251927947
"Niterói (RJ)";-0.601635667559321;-0.289989630569842;0.509235087476805;-0.605104133487159;1.59153003716824;1.73009883082401;1.02772224425278;5.87355968186094;2.34337940749876;0.674274031294079;1.2115770326051;3.48365740949528;-0.0382036035560635;-0.712773193024719;3.54322153525424;5.26733561449751;5.68042059226886;-2.07626678209774
"Nova Friburgo (RJ)";-0.206436101632855;-0.450011628707079;0.544049289583805;0.568482776956318;0.799038353798042;2.09110884043778;0.209420932969645;0.594252213639611;1.18304729563878;0.061771195307751;0.443283182758591;0.981478496225757;-0.246949130905445;3.43388776789086;1.39591863835361;0.539774024635554;1.6991987003954;-2.23121934086294
